url	filename	size	sha256
http://deb.debian.org/debian/pool/main/g/glibc/glibc_2.41-12%2bdeb13u3.debian.tar.xz	glibc_2.41-12+deb13u3.debian.tar.xz	494644	de7d715bf7e559b78baebac4115122641842f65faf0a5080a55954877a55cebe
http://deb.debian.org/debian/pool/main/g/gmp/gmp_6.3.0%2bdfsg-3.dsc	gmp_6.3.0+dfsg-3.dsc	2251	f7b64af28f52b7346bb8581e01d3c19daf769639345f234f8ae1e29c42171443
http://deb.debian.org/debian/pool/main/g/gmp/gmp_6.3.0%2bdfsg.orig.tar.xz	gmp_6.3.0+dfsg.orig.tar.xz	1870556	bd2966e6d277f79328e894a5a9f3ba3fbf2ed2be81def5f48623e30c23fb1572
http://deb.debian.org/debian/pool/main/g/gmp/gmp_6.3.0%2bdfsg-3.debian.tar.xz	gmp_6.3.0+dfsg-3.debian.tar.xz	19912	1d890bbe25dd649d2ddba1926483176520e50f22115a00566f250b613b8c20ad
http://deb.debian.org/debian/pool/main/g/grep/grep_3.11-4.dsc	grep_3.11-4.dsc	1642	dd6f8eb933bc05446e483f7792c8bf0a1aba9d498e65c6ccafe64e9bf27ac054
http://deb.debian.org/debian/pool/main/g/grep/grep_3.11.orig.tar.xz	grep_3.11.orig.tar.xz	1703776	1db2aedde89d0dea42b16d9528f894c8d15dae4e190b59aecc78f5a951276eab
http://deb.debian.org/debian/pool/main/g/grep/grep_3.11.orig.tar.xz.asc	grep_3.11.orig.tar.xz.asc	833	89ec23ffd59b68822732dc8204fc89883c3af30a90ae390feb94346d9d09a589
http://deb.debian.org/debian/pool/main/g/grep/grep_3.11-4.debian.tar.xz	grep_3.11-4.debian.tar.xz	20468	f10394b7589c58ca7de4b580692b1b59431f898cb2068e86222c174e093fdf49
http://deb.debian.org/debian/pool/main/g/gzip/gzip_1.13-1.dsc	gzip_1.13-1.dsc	1884	4942638dbb63dc5690e0a95ed70ee9f11e93565c43941c2485da3e561ec72028
http://deb.debian.org/debian/pool/main/g/gzip/gzip_1.13.orig.tar.xz	gzip_1.13.orig.tar.xz	838248	7454eb6935db17c6655576c2e1b0fabefd38b4d0936e0f87f48cd062ce91a057
http://deb.debian.org/debian/pool/main/g/gzip/gzip_1.13.orig.tar.xz.asc	gzip_1.13.orig.tar.xz.asc	833	aa752d6460fff2e0064857f1c6057d2dc49a28a45ad28c6b29c525851d6771f1
http://deb.debian.org/debian/pool/main/g/gzip/gzip_1.13-1.debian.tar.xz	gzip_1.13-1.debian.tar.xz	19028	29319b3f91d8e03d940d4d7c0f2a5fe5ec4f2ba4a0e621c9ef2682f2d0240dd2
http://deb.debian.org/debian/pool/main/h/hostname/hostname_3.25.dsc	hostname_3.25.dsc	1519	80aadf116c3423044be69a4cef8ba2766f412bd4d46a500aacb61f303c19c4ef
http://deb.debian.org/debian/pool/main/h/hostname/hostname_3.25.tar.xz	hostname_3.25.tar.xz	12804	5bb5d1be011158090157c9e7587ae5606c262a5020ecdc5caac6686b9910592e
http://deb.debian.org/debian/pool/main/i/init-system-helpers/init-system-helpers_1.69%7edeb13u1.dsc	init-system-helpers_1.69~deb13u1.dsc	2266	873082d72727267b6207e38df47e3002aeb0ed554f876db17c7bbfeb26174ee6
http://deb.debian.org/debian/pool/main/i/init-system-helpers/init-system-helpers_1.69%7edeb13u1.tar.xz	init-system-helpers_1.69~deb13u1.tar.xz	45852	bbd65c63420b6335b91cbf5daad9a70632a087657eb9078ea000f0a16c2d83da
http://deb.debian.org/debian/pool/main/libb/libbsd/libbsd_0.12.2-2.dsc	libbsd_0.12.2-2.dsc	2446	01eb1d0c896096f9038213f5f00376ecfd1c0d1def21b7042f28ae070e4837e3
http://deb.debian.org/debian/pool/main/libb/libbsd/libbsd_0.12.2.orig.tar.xz	libbsd_0.12.2.orig.tar.xz	446032	b88cc9163d0c652aaf39a99991d974ddba1c3a9711db8f1b5838af2a14731014
http://deb.debian.org/debian/pool/main/libb/libbsd/libbsd_0.12.2.orig.tar.xz.asc	libbsd_0.12.2.orig.tar.xz.asc	833	620dc92f158ebe0a650c0e92214a8121b927276895dc9a1dcaa38f627fa0fcb0
http://deb.debian.org/debian/pool/main/libb/libbsd/libbsd_0.12.2-2.debian.tar.xz	libbsd_0.12.2-2.debian.tar.xz	18688	36c878a32c1f190ca2cb474de5c6139990a6c029906493d3566770b1ebd569bf
http://deb.debian.org/debian/pool/main/libc/libcap-ng/libcap-ng_0.8.5-4.dsc	libcap-ng_0.8.5-4.dsc	1710	a5745b7d68a11068ae5beddcc7fbc94cd87dd81cb2d7495e7d48610603be3526
http://deb.debian.org/debian/pool/main/libc/libcap-ng/libcap-ng_0.8.5.orig.tar.gz	libcap-ng_0.8.5.orig.tar.gz	59265	e4be07fdd234f10b866433f224d183626003c65634ed0552b02e654a380244c2
http://deb.debian.org/debian/pool/main/libc/libcap-ng/libcap-ng_0.8.5-4.debian.tar.xz	libcap-ng_0.8.5-4.debian.tar.xz	7816	f5d4e7f38bdbca87de77317ce95f973883081370ef257019b484e29e3368a20d
http://deb.debian.org/debian/pool/main/libc/libcap2/libcap2_2.75-10%2bdeb13u1.dsc	libcap2_2.75-10+deb13u1.dsc	2714	cb6af220de216655ec55bb1f5abf3fa8f03e82c9956f120b313056e895c02ea6
http://deb.debian.org/debian/pool/main/libc/libcap2/libcap2_2.75.orig.tar.xz	libcap2_2.75.orig.tar.xz	197868	de4e7e064c9ba451d5234dd46e897d7c71c96a9ebf9a0c445bc04f4742d83632
http://deb.debian.org/debian/pool/main/libc/libcap2/libcap2_2.75.orig.tar.xz.asc	libcap2_2.75.orig.tar.xz.asc	833	c71b593e7c3160fd7f406641074d93462bbc4906c9243937a0e232f42d5c54d2
http://deb.debian.org/debian/pool/main/libc/libcap2/libcap2_2.75-10%2bdeb13u1.debian.tar.xz	libcap2_2.75-10+deb13u1.debian.tar.xz	24628	d375de2f743f112835fc0eef2a9c305c1109371954cf53e109b7f046fe58c1bc
http://deb.debian.org/debian/pool/main/libf/libffi/libffi_3.4.8-2.dsc	libffi_3.4.8-2.dsc	1948	4424defe3f37c0084f062e03330b2ba3d3f927367c33be455cfacf7f85a78161
http://deb.debian.org/debian/pool/main/libf/libffi/libffi_3.4.8.orig.tar.gz	libffi_3.4.8.orig.tar.gz	595051	cbb7f0b3b095dc506387ec1e35b891bfb4891d05b90a495bc69a10f2293f80ff
http://deb.debian.org/debian/pool/main/libf/libffi/libffi_3.4.8-2.debian.tar.xz	libffi_3.4.8-2.debian.tar.xz	11220	f23ac79a19895ebb6bbb539263d0d945ebc2d3e91217a597f5819777f08b401c
http://deb.debian.org/debian/pool/main/libm/libmd/libmd_1.1.0-2.dsc	libmd_1.1.0-2.dsc	2280	46cc951cd6d71bbfeff4522de66f968fb92601ec4cc622b07f6ac0a2a36ac5f0
http://deb.debian.org/debian/pool/main/libm/libmd/libmd_1.1.0.orig.tar.xz	libmd_1.1.0.orig.tar.xz	271228	1bd6aa42275313af3141c7cf2e5b964e8b1fd488025caf2f971f43b00776b332
http://deb.debian.org/debian/pool/main/libm/libmd/libmd_1.1.0.orig.tar.xz.asc	libmd_1.1.0.orig.tar.xz.asc	833	402fd3024e43ab975733d09e661804a58ca58697194e4b15216b1217cfe1dadb
http://deb.debian.org/debian/pool/main/libm/libmd/libmd_1.1.0-2.debian.tar.xz	libmd_1.1.0-2.debian.tar.xz	8244	3b6ff35fc921eb5450fa9bf2d300c9e058e3771f96f8f13f759768fadd53324c
http://deb.debian.org/debian/pool/main/libs/libseccomp/libseccomp_2.6.0-2.dsc	libseccomp_2.6.0-2.dsc	2622	d05f94536558d34fa339326c6f958a3357b51efac8234470b5d97b69472db765
http://deb.debian.org/debian/pool/main/libs/libseccomp/libseccomp_2.6.0.orig.tar.gz	libseccomp_2.6.0.orig.tar.gz	685655	83b6085232d1588c379dc9b9cae47bb37407cf262e6e74993c61ba72d2a784dc
http://deb.debian.org/debian/pool/main/libs/libseccomp/libseccomp_2.6.0.orig.tar.gz.asc	libseccomp_2.6.0.orig.tar.gz.asc	833	52e338fa958128293cbd25d2be189e34da41c4f4abbb1b641cf58f373c001f94
http://deb.debian.org/debian/pool/main/libs/libseccomp/libseccomp_2.6.0-2.debian.tar.xz	libseccomp_2.6.0-2.debian.tar.xz	20800	ed705ec85719403e77d004c99c0b06b795f090c66fcae265c4bcf37ffea9cc27
http://deb.debian.org/debian/pool/main/libs/libselinux/libselinux_3.8.1-1.dsc	libselinux_3.8.1-1.dsc	3013	e430b782a396e266f86c32fa779efadebfd40e6a0d10ddbd786fc47905f723b9
http://deb.debian.org/debian/pool/main/libs/libselinux/libselinux_3.8.1.orig.tar.gz	libselinux_3.8.1.orig.tar.gz	204411	ec2d2789f931152d21c1db1eb4bc202ce4eccede34d9be9e360e3b45243cee2c
http://deb.debian.org/debian/pool/main/libs/libselinux/libselinux_3.8.1.orig.tar.gz.asc	libselinux_3.8.1.orig.tar.gz.asc	833	7f983714a780d89f7677e7ba140ce29974022b8ba225f60246b6c33de1477dd6
http://deb.debian.org/debian/pool/main/libs/libselinux/libselinux_3.8.1-1.debian.tar.xz	libselinux_3.8.1-1.debian.tar.xz	37812	1af25952374f083cf3d6d0edd5beb938f2e53c30eb404afa1e32fcd1cb127db7
http://deb.debian.org/debian/pool/main/libs/libsemanage/libsemanage_3.8.1-1.dsc	libsemanage_3.8.1-1.dsc	2992	b22bfc4ab2cd47fac46cc9e45d418bb30eb540c3e5c1052d6c669f53e180e4e5
http://deb.debian.org/debian/pool/main/libs/libsemanage/libsemanage_3.8.1.orig.tar.gz	libsemanage_3.8.1.orig.tar.gz	184618	7b39127b219cc70bfd935a4af6b0f2ba83d4b35c916f253c7e942c23ab490f07
http://deb.debian.org/debian/pool/main/libs/libsemanage/libsemanage_3.8.1.orig.tar.gz.asc	libsemanage_3.8.1.orig.tar.gz.asc	833	5b4856cb5823fba1b247ff1b5355692706da68a4df61a936d1b33b1f9e9b2f3d
http://deb.debian.org/debian/pool/main/libs/libsemanage/libsemanage_3.8.1-1.debian.tar.xz	libsemanage_3.8.1-1.debian.tar.xz	37572	6d1e5bd4d06bbd25ced1b75fba394c3e2157bd604cf1cd33fb581793d70bd7b8
http://deb.debian.org/debian/pool/main/libs/libsepol/libsepol_3.8.1-1.dsc	libsepol_3.8.1-1.dsc	2347	0351ffc8c3f66918c9e4ecae9244ae2af27857d8795e424e384ddda794718c34
http://deb.debian.org/debian/pool/main/libs/libsepol/libsepol_3.8.1.orig.tar.gz	libsepol_3.8.1.orig.tar.gz	513830	0e78705305f955abd4c0654d37a5477ee26349ab74db9e2b03a7868897ae1ddf
http://deb.debian.org/debian/pool/main/libs/libsepol/libsepol_3.8.1.orig.tar.gz.asc	libsepol_3.8.1.orig.tar.gz.asc	833	183f6cf96054986704d4224f89518e9139370385c43a533078f45ca688dca8b6
http://deb.debian.org/debian/pool/main/libs/libsepol/libsepol_3.8.1-1.debian.tar.xz	libsepol_3.8.1-1.debian.tar.xz	21432	7aac515a941f8dd19581b16c664b3098962e6a8ed7fa0afdafd306a85c667619
http://deb.debian.org/debian/pool/main/libx/libxcrypt/libxcrypt_4.4.38-1.dsc	libxcrypt_4.4.38-1.dsc	1573	feba1874a84616791c1c17f9a290c9e97562b2904b3b0200edc82a2db54f3f07
http://deb.debian.org/debian/pool/main/libx/libxcrypt/libxcrypt_4.4.38.orig.tar.xz	libxcrypt_4.4.38.orig.tar.xz	394216	6a275a356622c64ba9f693892215dbb399c003a7a4afeed9c4c74070eaab20f4
http://deb.debian.org/debian/pool/main/libx/libxcrypt/libxcrypt_4.4.38-1.debian.tar.xz	libxcrypt_4.4.38-1.debian.tar.xz	8512	6b87bcb5325e417ab3f4c01c364233444b4c9008a69ec1d6fababb3f6e693a5e
http://deb.debian.org/debian/pool/main/libz/libzstd/libzstd_1.5.7%2bdfsg-1.dsc	libzstd_1.5.7+dfsg-1.dsc	2371	8f6ab97fa772d921334e50fa5756a0951e23c718dc913e43a228f28c1a23adf9
http://deb.debian.org/debian/pool/main/libz/libzstd/libzstd_1.5.7%2bdfsg.orig.tar.xz	libzstd_1.5.7+dfsg.orig.tar.xz	1834780	0c092ef267edce57ba7f3f2645c861f72eaf5e76273c6c3632869423464b90a5
http://deb.debian.org/debian/pool/main/libz/libzstd/libzstd_1.5.7%2bdfsg-1.debian.tar.xz	libzstd_1.5.7+dfsg-1.debian.tar.xz	23036	5e88424d919941291f79e1bfada6cb1a6f748671d9de7d4b7d931f361f183a15
http://deb.debian.org/debian/pool/main/l/lz4/lz4_1.10.0-4.dsc	lz4_1.10.0-4.dsc	1941	394c635aa75a21cd5896680e48821c05336645072ae866b2717d53f36b9ba851
http://deb.debian.org/debian/pool/main/l/lz4/lz4_1.10.0.orig.tar.gz	lz4_1.10.0.orig.tar.gz	387114	537512904744b35e232912055ccf8ec66d768639ff3abe5788d90d792ec5f48b
http://deb.debian.org/debian/pool/main/l/lz4/lz4_1.10.0-4.debian.tar.xz	lz4_1.10.0-4.debian.tar.xz	8080	8d276c3254182c2c9cf319b9a6504cf257c56b441f37d3db8ad97d33d46a0911
http://deb.debian.org/debian/pool/main/m/mawk/mawk_1.3.4.20250131-1.dsc	mawk_1.3.4.20250131-1.dsc	2969	147dd01670e2ebf61f3c78470e0025b87d14e69c7ba9cfafd54da32a355dea84
http://deb.debian.org/debian/pool/main/m/mawk/mawk_1.3.4.20250131.orig.tar.gz	mawk_1.3.4.20250131.orig.tar.gz	433213	51bcb82d577b141d896d9d9c3077d7aaa209490132e9f2b9573ba8511b3835be
http://deb.debian.org/debian/pool/main/m/mawk/mawk_1.3.4.20250131.orig.tar.gz.asc	mawk_1.3.4.20250131.orig.tar.gz.asc	729	bc83f127727edb42a91d516770c8d0d3cdb5f6e541aa3cb5213b79dae494db95
